y_measured,v_filtered,x1m,x2m,error,u,theta1,theta2,uc
1.406195282936096191e+00,-1.212565302848815918e-01,1.090798616409301758e+00,-1.351096868515014648e+00,-3.153966665267944336e-01,4.630406498908996582e-01,-1.731050372123718262e+00,-2.850513458251953125e-01,1.116977810859680176e+00
1.382259964942932129e+00,-2.428725063800811768e-01,1.020560383796691895e+00,-9.006726741790771484e-01,-3.616995811462402344e-01,3.899856209754943848e-01,-1.732390165328979492e+00,-2.668919861316680908e-01,1.116977810859680176e+00
1.367300510406494141e+00,-2.412361800670623779e-01,9.771854281425476074e-01,-4.961745738983154297e-01,-3.901150822639465332e-01,3.390376567840576172e-01,-1.733719348907470703e+00,-2.541432380676269531e-01,1.134430527687072754e+00
1.364308595657348633e+00,-1.513792127370834351e-01,9.578357338905334473e-01,-1.358884572982788086e-01,-4.064728617668151855e-01,3.600720465183258057e-01,-1.735096335411071777e+00,-2.470128238201141357e-01,1.134430527687072754e+00
1.364308595657348633e+00,-8.103329688310623169e-02,9.583602547645568848e-01,1.390430927276611328e-01,-4.059483408927917480e-01,3.788443505764007568e-01,-1.736545324325561523e+00,-2.448830753564834595e-01,1.134430527687072754e+00
1.364308595657348633e+00,-4.337712377309799194e-02,9.733809828758239746e-01,3.286583423614501953e-01,-3.909276127815246582e-01,3.885713517665863037e-01,-1.738063454627990723e+00,-2.464695721864700317e-01,1.134430527687072754e+00
1.364308595657348633e+00,-2.321977540850639343e-02,9.977573752403259277e-01,4.400826692581176758e-01,-3.665512204170227051e-01,3.938196897506713867e-01,-1.739627957344055176e+00,-2.503035962581634521e-01,1.134430527687072754e+00
1.364308595657348633e+00,-1.242954656481742859e-02,1.026950359344482422e+00,4.850338697433471680e-01,-3.373582363128662109e-01,3.967911601066589355e-01,-1.741204380989074707e+00,-2.551063299179077148e-01,1.134430527687072754e+00
1.364308595657348633e+00,-6.653536576777696609e-03,1.057238578796386719e+00,4.776142835617065430e-01,-3.070700168609619141e-01,3.985673487186431885e-01,-1.742757558822631836e+00,-2.599566280841827393e-01,1.134430527687072754e+00
1.364308595657348633e+00,-3.561638295650482178e-03,1.085808277130126953e+00,4.324978590011596680e-01,-2.785003185272216797e-01,3.996958732604980469e-01,-1.744260668754577637e+00,-2.643044292926788330e-01,1.134430527687072754e+00
1.364308595657348633e+00,-1.906545017845928669e-03,1.110744118690490723e+00,3.635563850402832031e-01,-2.535644769668579102e-01,4.004633426666259766e-01,-1.745699405670166016e+00,-2.678981125354766846e-01,1.134430527687072754e+00
1.364308595657348633e+00,-1.020573545247316360e-03,1.130946874618530273e+00,2.829197645187377930e-01,-2.333617210388183594e-01,4.314917922019958496e-01,-1.747076749801635742e+00,-2.706839740276336670e-01,1.116977810859680176e+00
1.364308595657348633e+00,-5.463130073621869087e-04,1.145242452621459961e+00,1.773978471755981445e-01,-2.190661430358886719e-01,4.319579899311065674e-01,-1.748411297798156738e+00,-2.727231085300445557e-01,1.116977810859680176e+00
1.364308595657348633e+00,-2.924413711298257113e-04,1.153339385986328125e+00,8.548545837402343750e-02,-2.109692096710205078e-01,8.595611453056335449e-01,-1.749783873558044434e+00,-1.354093924460789760e+18,-6.002361079573354906e+19
1.292502880096435547e+00,-5.132986903190612793e-01,1.107944607734680176e+00,-8.521897196769714355e-01,-1.845582723617553711e-01,9.609953761100769043e-01,-1.753043055534362793e+00,-2.751998603343963623e-01,6.632055640220642090e-01
1.166842818260192871e+00,-1.209076523780822754e+00,1.043441057205200195e+00,-1.176941394805908203e+00,-1.234017610549926758e-01,1.162069559097290039e+00,-1.754386782646179199e+00,-2.748562693595886230e-01,3.141500055789947510e-01
1.002288103103637695e+00,-1.870715975761413574e+00,9.493344426155090332e-01,-1.777343034744262695e+00,-5.295366048812866211e-02,1.121747255325317383e+00,-1.755087137222290039e+00,-2.743948101997375488e-01,6.981111317873001099e-02
7.898628711700439453e-01,-2.580818414688110352e+00,8.169477581977844238e-01,-2.391247749328613281e+00,-6.933897940333783517e-35,-3.651941650390625000e+03,2.812460374442542638e+28,7.002579715080078516e-31,1.818364262580871582e+00
3.650123775005340576e-01,-3.133401155471801758e+00,4.896270036697387695e-01,-2.696886062622070312e+00,1.246146261692047119e-01,-2.290293574333190918e-01,-1.750868678092956543e+00,-2.822127640247344971e-01,0.000000000000000000e+00
2.184090465307235718e-01,-2.767334699630737305e+00,3.257588148117065430e-01,2.347978299801600000e+13,1.316438168287277222e-01,-2.126471281051635742e+00,1.787741631269454956e-01,-2.169564247131347656e+00,4.713034629821777344e-02
1.226680949330329895e-01,-1.205036401748657227e+00,5.636917054653167725e-02,-1.737754344940185547e+00,-6.629892438650131226e-02,-1.356072574853897095e-01,-1.749139547348022461e+00,-2.861710786819458008e-01,0.000000000000000000e+00
1.196761876344680786e-01,-6.673014163970947266e-01,-3.787060454487800598e-02,-1.277280926704406738e+00,-1.575467884540557861e-01,1.836799085140228271e-02,-3.500727500000000000e+06,-7.598295898437500000e+02,1.073626632977121280e+17
1.196761876344680786e-01,-1.912126243114471436e-01,-1.431757211685180664e-01,-4.405570030212402344e-01,-2.628518939018249512e-01,1.596710383892059326e-01,-1.754892826080322266e+00,-2.480647265911102295e-01,0.000000000000000000e+00
1.196761876344680786e-01,-1.023561209440231323e-01,-1.601704359054565430e-01,-1.159615814685821533e-01,-2.798466086387634277e-01,1.846279501914978027e-01,-1.756246685981750488e+00,-2.357676625251770020e-01,0.000000000000000000e+00
1.196761876344680786e-01,-5.479123443365097046e-02,-1.592788994312286377e-01,1.311563700437545776e-01,-2.789551019668579102e-01,1.972629129886627197e-01,-1.757131338119506836e+00,-2.264698594808578491e-01,0.000000000000000000e+00
1.196761876344680786e-01,-2.932974882423877716e-02,-1.453761160373687744e-01,3.010345995426177979e-01,-2.650523185729980469e-01,2.036444842815399170e-01,-1.757644653320312500e+00,-2.204052209854125977e-01,0.000000000000000000e+00
1.196761876344680786e-01,-1.570021547377109528e-02,-1.231110021471977234e-01,4.002726376056671143e-01,-2.427871823310852051e-01,2.068878114223480225e-01,-1.757916927337646484e+00,-2.171571105718612671e-01,0.000000000000000000e+00
1.196761876344680786e-01,-8.404325693845748901e-03,-9.658034145832061768e-02,4.395752549171447754e-01,-2.162565290927886963e-01,2.085557281970977783e-01,-1.758064150810241699e+00,-2.160026878118515015e-01,0.000000000000000000e+00
1.196761876344680786e-01,-4.498835653066635132e-03,-6.913615763187408447e-02,4.317600429058074951e-01,-1.888123452663421631e-01,2.094266563653945923e-01,-1.758168101310729980e+00,-2.161867469549179077e-01,0.000000000000000000e+00
1.196761876344680786e-01,-2.408226719126105309e-03,-4.330674931406974792e-02,3.901240229606628418e-01,-1.629829406738281250e-01,2.098902165889739990e-01,-1.758275389671325684e+00,-2.170840054750442505e-01,0.000000000000000000e+00
1.196761876344680786e-01,-1.289123785682022572e-03,-2.080746367573738098e-02,3.272087574005126953e-01,-1.404836475849151611e-01,2.101438343524932861e-01,-1.758406162261962891e+00,-2.182581424713134766e-01,0.000000000000000000e+00
1.196761876344680786e-01,-6.900680018588900566e-04,-2.616204321384429932e-03,2.539597749710083008e-01,-1.222923919558525085e-01,2.102887332439422607e-01,-1.758565425872802734e+00,-2.194501906633377075e-01,0.000000000000000000e+00
1.196761876344680786e-01,-3.693934122566133738e-04,1.091000065207481384e-02,1.792443394660949707e-01,-1.087661832571029663e-01,2.103773504495620728e-01,-1.758751869201660156e+00,-2.205326408147811890e-01,0.000000000000000000e+00
1.196761876344680786e-01,-1.977362990146502852e-04,1.989803649485111237e-02,1.096717268228530884e-01,-9.977815300226211548e-02,-5.262454152107238770e-01,-1.758917808532714844e+00,-2.214579135179519653e-01,4.188666343688964844e-01
1.196761876344680786e-01,-1.058482448570430279e-04,4.315206035971641541e-02,6.025533080101013184e-01,-7.652412354946136475e-02,-9.867449402809143066e-01,-1.758962154388427734e+00,-2.220704853534698486e-01,6.806583404541015625e-01
1.286519020795822144e-01,6.667957454919815063e-02,1.028752475976943970e-01,1.258595705032348633e+00,-2.577665448188781738e-02,-9.561508297920227051e-01,-1.758925557136535645e+00,-2.222376167774200439e-01,6.806583404541015625e-01
1.884900033473968506e-01,4.806018471717834473e-01,1.946281641721725464e-01,1.633873701095581055e+00,6.138160824775695801e-03,-1.004464626312255859e+00,-1.758950114250183105e+00,-2.222043275833129883e-01,8.202805519104003906e-01
2.902147471904754639e-01,1.013610005378723145e+00,3.082920014858245850e-01,1.956828594207763672e+00,1.807725429534912109e-02,-1.290403485298156738e+00,-1.759078741073608398e+00,-2.220998555421829224e-01,1.151883363723754883e+00
